City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangody,65.85,74.4859,19.54,40,100,7.58,RU,1720528808
1,bethel,41.3712,-73.414,26.04,90,0,1.54,US,1720528428
2,kapuskasing,49.4169,-82.4331,16.05,100,100,4.12,CA,1720528560
3,shancheng,34.7953,116.0817,24.05,82,37,1.85,CN,1720528811
4,ashland,40.8167,-82.2665,24.04,97,100,1.45,US,1720528812
5,tolanaro,-25.0319,46.9987,25.04,61,0,4.12,MG,1720528814
6,mbuji-mayi,-6.15,23.6,35.59,13,29,1.99,CD,1720528815
7,port-aux-francais,-49.35,70.2167,4.34,85,3,10.55,TF,1720528256
8,enewetak,11.3474,162.3373,28.79,79,2,7.73,MH,1720528489
9,udachny,66.4167,112.4,23.51,54,72,7.05,RU,1720528410
10,nyurba,63.2842,118.3319,19.7,70,100,2.87,RU,1720528819
11,bredasdorp,-34.5322,20.0403,10.85,82,100,10.63,ZA,1720528463
12,blackmans bay,-43.0167,147.3167,11.07,92,100,3.35,AU,1720528382
13,grytviken,-54.2811,-36.5092,-2.46,68,100,4.76,GS,1720528274
14,charters towers,-20.1,146.2667,17.32,73,55,3.44,AU,1720528824
15,upper hutt,-41.1383,175.0502,6.96,95,50,0.93,NZ,1720528825
16,novyy urgal,51.0736,132.5642,12.67,74,65,1.83,RU,1720528826
17,kirakira,-10.4544,161.9205,26.26,89,100,4.95,SB,1720528827
18,wailua homesteads,22.0669,-159.378,23.44,92,100,5.66,US,1720528700
19,treinta y tres,-33.2333,-54.3833,4.45,76,100,3.85,UY,1720528830
20,kone,-21.0595,164.8658,19.83,87,47,2.31,NC,1720528831
21,namdrik,5.5994,168.1028,28.57,78,77,5.37,MH,1720528832
22,shijiang,27.0819,110.7933,27.62,74,100,1.44,CN,1720528833
23,chonchi,-42.6128,-73.8092,2.56,96,32,1.08,CL,1720528834
24,palangkaraya,-2.2,113.8333,23.4,96,100,1.19,ID,1720528836
25,kapoeta,4.7717,33.5903,30.83,42,100,2.38,SS,1720528837
26,jonuta,18.0833,-92.1333,24.82,94,100,1.44,MX,1720528838
27,salinopolis,-0.6136,-47.3561,27.65,79,7,2.97,BR,1720528839
28,stanley,54.868,-1.6985,13.77,97,75,7.72,GB,1720528684
29,aasiaat,68.7098,-52.8699,2.85,96,100,7.07,GL,1720528423
30,ushuaia,-54.8,-68.3,4.81,60,75,2.57,AR,1720528373
31,waitangi,-43.9535,-176.5597,7.68,61,20,7.09,NZ,1720528404
32,ribeira brava,32.65,-17.0667,25.4,76,0,1.37,PT,1720528845
33,santana,-0.0583,-51.1817,30.1,74,40,1.03,BR,1720528846
34,ust-nera,64.5667,143.2,14.6,51,100,1.01,RU,1720528321
35,malpica,43.3228,-8.8105,20.09,91,100,4.39,ES,1720528848
36,margaret river,-33.95,115.0667,16.46,55,100,9.69,AU,1720528495
37,iqaluit,63.7506,-68.5145,3.85,100,100,5.14,CA,1720528568
38,isafjordur,66.0755,-23.124,12.02,71,100,4.63,IS,1720528253
39,georgetown,5.4112,100.3354,29.96,74,20,2.06,MY,1720528853
40,lompoc,34.6391,-120.4579,13.13,96,100,0.45,US,1720528459
